UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
102030,2,"R",73395,"R",224,"R",5,"R",4754,"R",0,"R",79,"Z",0,"R",78228,"R",229,"R",78457,"R",615,"R",250,"R",865,2,"A",,"A",,"R",4,"R",213323,1,"R",57389,"R",4263,"R",48286,"R",0,"R",52549,"R",0,"R",22475,"R",22475,"R",345736,288347
102049,2,"R",306917,"R",190695,"R",291,"R",12341,"R",106724,"R",5960,"R",117223,"R",325218,"R",414933,"R",740151,"R",49820,"R",47942,"R",97762,1,"R",3874,"R",4627,"R",4,"R",2178434,1,"R",801211,"R",120152,"R",1028749,"R",247505,"R",1396406,"R",6918,"R",252450,"R",259368,"R",4635419,3834208
102058,2,"R",23586,"R",60,"R",6,"R",132,"Z",0,"Z",0,"Z",0,"R",23718,"R",66,"R",23784,"R",589,"R",589,"R",1178,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
102067,2,"R",55629,"R",908,"R",6,"R",993,"R",0,"R",151,"R",0,"R",56773,"R",914,"R",57687,"R",3302,"R",133,"R",3435,1,"R",0,"R",0,"R",1,"R",392377,1,"R",133073,"R",19862,"R",32320,"R",19,"R",52201,"R",0,"R",45607,"R",45607,"R",623258,490185
102076,2,"R",6430,"R",99766,"R",57,"R",0,"R",34968,"R",15,"Z",0,"R",6445,"R",134791,"R",141236,"R",45,"R",183,"R",228,1,"R",5,"R",4,"R",0,"R",145924,1,"R",45560,"R",0,"R",23157,"R",0,"R",23157,"R",0,"R",13548,"R",13548,"R",228189,182629
102094,2,"R",415321,"R",115119,"R",94,"R",10860,"R",314,"R",2703,"R",418002,"R",428884,"R",533529,"R",962413,"R",15460,"R",160486,"R",175946,1,"R",6331,"R",4838,"R",2,"R",2561689,1,"R",854105,"R",223757,"R",3066103,"R",176439,"R",3466299,"R",16537,"R",115170,"R",131707,"R",7013800,6159695
102234,2,"R",134536,"R",168311,"R",126,"R",2276,"R",14426,"R",2536,"R",27254,"R",139348,"R",210117,"R",349465,"R",9965,"R",49921,"R",59886,1,"R",294,"R",523,"R",1,"R",533114,2,"Z",0,"R",10025,"R",145978,"R",1955,"R",157958,"R",3099,"R",42460,"R",45559,"R",736631,736631
102261,2,"R",39508,"R",42621,"R",74,"R",1069,"Z",0,"R",84,"R",340,"R",40661,"R",43035,"R",83696,"R",3921,"R",3641,"R",7562,1,"R",96,"R",26,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
102270,2,"R",119000,"R",142440,"R",58,"R",6327,"R",0,"R",0,"R",0,"R",125327,"R",142498,"R",267825,"R",918,"R",9744,"R",10662,1,"R",0,"R",17,"R",0,"R",163300,1,"R",34794,"R",6430,"R",280,"R",217,"R",6927,"R",0,"R",188141,"R",188141,"R",393162,358368
102298,2,"R",130000,"R",1090,"R",14,"R",0,"R",0,"R",0,"R",0,"R",130000,"R",1104,"R",131104,"R",22,"R",601,"R",623,2,"A",,"A",,"R",1,"R",142229,1,"R",8510,"R",1676,"R",8778,"R",2299,"R",12753,"R",0,"R",61876,"R",61876,"R",225368,216858
102313,2,"R",10262,"R",258,"R",28,"R",1300,"R",0,"R",90,"R",58,"R",11652,"R",344,"R",11996,"R",92,"R",572,"R",664,2,"A",,"A",,"R",1,"R",282054,1,"R",42379,"R",9666,"R",60188,"R",0,"R",69854,"R",0,"R",0,"R",0,"R",394287,351908
102368,2,"R",601704,"R",129532,"R",223,"R",35500,"R",29671,"R",340,"R",137084,"R",637544,"R",296510,"R",934054,"R",18090,"R",4320,"R",22410,1,"R",2307,"R",1227,"R",2,"R",1208077,1,"R",400369,"R",164583,"R",1130492,"R",49191,"R",1344266,"R",5017,"R",368180,"R",373197,"R",3325909,2925540
