UNITID,CIPTUIT1,CHG1PY0,CHG1PY1,CHG1PY2,CHG1PY3
209986,.,13900,14590,14590,14590
210100,.,13800,13800,13800,14375
210340,.,14025,14025,14025,14025
210474,.,15650,16117,16918,17759
210483,.,26222,26222,30156,30156
210599,.,9800,9800,9800,9996
210711,.,16950,17100,17100,17100
210748,.,11475,11875,12450,12450
210784,.,17050,17100,17100,17100
210951,.,9553,10549,12618,12462
211006,.,38250,38250,38285,40800
211149,.,12000,12000,12000,12000
211316,.,22100,22100,22100,14250
211334,.,13800,13800,13800,13800
211617,.,15585,15585,15585,15970
211635,.,30217,32829,35210,33080
211802,.,25594,27075,27723,27685
211820,.,27600,28200,28200,28500
212230,.,14679,15429,15579,16075
212267,.,14679,15429,15429,16075
212276,.,14490,15240,15240,16075
212294,.,14490,15240,15390,16075
212300,.,14490,15240,15240,16075
212328,.,14679,15429,15429,16075
212337,.,18360,19110,19110,19260
212355,.,14679,15429,15429,16075
212373,.,14679,15429,15429,17000
212382,.,14490,15240,15390,16075
212391,.,14679,15429,15429,16075
212753,.,15372,16122,16122,17000
213002,.,15741,15741,15741,15991
213181,.,16023,16036,16036,15936
213215,.,15650,16117,16918,17759
213330,.,13800,13800,13800,13800
213455,.,12600,12600,12600,12600
213491,.,14425,15125,15125,15125
213552,.,15000,15000,15000,15000
213570,.,15700,16200,16400,16910
213589,.,25979,26767,27300,28029
214254,.,15585,15585,15585,15835
214290,.,16650,17100,17200,19410
214528,.,10850,11865,12990,13276
214546,.,15100,15100,15100,15100
214944,.,21095,21095,21095,21095
214962,.,15100,15100,15100,15100
215008,.,22700,23400,23868,24492
215044,.,9979,10504,10504,9944
215336,.,14100,14100,14100,16100
215390,.,18525,19325,19925,21525
215530,.,12750,12750,12750,13400
215646,.,15585,15585,15585,15835
215886,.,12360,12360,13905,15584
216074,.,14450,15075,15075,15625
216223,.,15300,15750,15750,15750
216579,.,15600,15550,16300,16350
216746,.,8625,9975,9975,9975
217077,.,32074,33140,30240,30849
217323,.,10295,10295,10295,10195
217350,15600,.,.,.,.
217581,.,16500,17250,17250,17250
217794,.,17500,17500,17500,17500
217828,.,16000,16000,16000,16500
218159,.,16750,16850,16850,17225
218195,.,16750,16850,16850,17225
218867,.,9850,10225,10450,10125
219037,.,12090,12730,12730,12730
219125,.,14535,14535,14535,14535
219392,1750,.,.,.,.
219453,.,11700,11850,12200,12200
219587,.,14350,15300,16450,16750
219596,.,3477,3726,3855,3948
219851,.,13475,13625,13625,13425
219903,.,14035,14485,14485,14535
219921,.,4236,4568,4740,4864
219994,.,3477,3726,3855,3948
220127,.,3477,4158,4309,4387
220163,.,14783,15900,16795,16895
220251,.,3477,3726,3855,3948
220279,.,5295,5710,5925,4864
220321,.,3477,3726,3855,3948
220394,.,3477,3726,3855,3948
220491,.,15300,15300,15300,15300
220640,.,3477,3726,3855,3948
220756,.,3477,3716,3855,3948
220765,.,12995,14995,15495,17495
220853,.,4698,4748,5148,5572
221050,.,3477,4566,5394,5987
221102,.,3477,3726,3855,3948
221148,.,26520,27326,28067,28317
221157,.,13600,13600,13600,13600
221236,.,3502,3751,3886,3948
221281,.,3477,3726,3855,3948
221333,.,3477,3726,3855,3948
221388,.,3477,3525,3855,3948
221430,.,5325,5710,5925,4864
221494,.,5295,5710,5925,6080
221582,.,3477,3726,3855,3948
221591,.,3477,3726,3855,3948
221607,.,3477,3726,3855,3948
221616,.,3477,3726,3855,3948
221625,.,3823,3957,4257,4382
221634,.,3447,3477,3726,3948
221829,.,13995,14995,14995,14995
222026,.,14950,14950,13450,13450
222099,.,15605,15605,15605,15605
222886,.,12500,12500,12500,12500
223056,.,12200,12200,13700,13600
223852,.,16000,16000,16000,16000
224013,.,9225,9325,9325,13100
224156,.,17000,17250,17250,17500
224660,.,30746,30479,31390,30938
224679,.,27536,27536,27659,30514
224758,.,9831,9831,9831,9831
224828,.,13995,15000,15000,15000
225201,.,31007,31512,34700,34700
225779,.,23300,23350,23350,23350
225788,.,23300,23350,23350,23350
226125,.,8750,8750,9000,9450
226277,.,19086,19813,20208,20652
226374,.,9168,9168,9783,9775
226675,14171,.,.,.,.
226772,.,8950,10740,13695,13350
226860,.,10100,10100,10100,10100
226903,.,18950,18950,16800,16800
227003,.,17775,14820,11856,12211
227058,.,13275,13275,15225,15225
227155,.,10650,10650,11050,11050
227298,.,19300,19800,20300,20800
227313,.,16350,16650,16950,16950
227322,.,16350,16650,16950,16950
227836,.,16012,16012,16012,16162
228088,.,13450,13450,15550,15550
228185,.,7700,8300,8300,8300
228200,.,19120,18260,18360,18360
228219,.,18260,18360,18360,18360
228282,.,14550,14550,14550,14500
229036,.,15432,15432,15432,15582
229416,.,38400,39350,40350,41350
229425,.,15085,15415,16500,16500
229522,.,12600,12600,15100,16500
229656,.,13930,14295,14295,15795
229957,.,10016,10016,13065,13791
230010,.,2555,3505,3665,3649
230065,.,15750,15750,15750,15750
230135,.,13900,13900,13900,13800
230144,.,13900,13800,13800,13800
230162,.,325,348,385,343
230199,.,12500,12500,12500,12500
230205,.,12500,12500,12500,12500
230214,.,15225,15275,15275,15275
230490,.,4091,4114,3540,3880
230676,.,1480,1480,1480,2590
230977,.,88550,88550,89710,89710
231004,.,15525,15525,15750,15950
231280,.,17000,17000,17000,17000
231688,.,6580,6580,6580,6580
231721,.,16500,16500,16500,16500
233286,.,13720,14650,14650,14750
233480,9800,.,.,.,.
233666,.,13755,13755,15180,15180
234119,.,9400,9800,10000,10000
234191,.,18000,18000,18000,18000
234359,.,8208,8208,8208,8208
234401,.,17500,14750,14750,14750
234650,.,15400,16200,16300,16320
234924,.,14600,14600,18558,16500
235088,.,22700,24800,25900,25900
235158,.,10148,10797,10797,11122
235307,.,11426,11826,11561,12330
235352,.,16400,16400,16400,16400
235501,.,7825,7825,8025,8025
235583,.,17100,17100,17100,17100
235954,.,11500,11500,11839,13225
