UNITID,EFTEUG,EFTEGD
165884,636,
165936,1806,198
165945,,1137
165981,1259,
166009,105,
166018,1369,
166027,9382,13456
166045,42,88
166054,48,61
166124,3064,
166133,4172,
166391,1834,269
166407,149,
166452,1649,2209
166489,40,131
166498,176,
166513,11584,2098
166586,20,
166595,33,
166629,23578,3742
166638,11132,2445
166647,3220,
166656,4529,2037
166674,1628,135
166683,4655,9385
166692,1850,67
166708,,443
166717,,251
166805,61,
166823,5022,
166850,3425,522
166869,439,791
166887,5670,
166911,363,
166939,2344,89
166948,1272,24
166957,2739,
166975,65,
166984,315,205
167039,16,
167057,400,320
167093,,6
167215,,
167224,72,
167251,804,
167260,1268,177
167288,1343,201
167297,204,
167312,4283,
167321,261,
167358,17169,3883
167376,3871,
167394,1185,227
167455,449,44
167464,,53
167525,3429,
167534,5241,
167598,1222,498
167631,1415,
167677,51,136
167729,6674,1164
167738,235,
167783,1832,3586
167792,342,
167835,2671,736
167871,139,
167899,2122,984
167905,4142,
167987,6562,835
167996,2428,
168005,5835,1102
168032,24,
168148,6176,4172
168218,2524,
168227,4562,227
168254,2714,366
168263,5348,837
168281,1579,
168290,820,279
168342,2131,69
168421,3544,800
168430,4730,714
168528,1610,33
168546,1434,
168555,43,
168573,389,
168591,1540,
168607,995,
168740,1556,1309
168786,1546,65
168847,14002,403
168883,984,
168892,64,
169071,20,
169080,4003,101
169099,,191
169187,167,
169220,,79
169248,17441,3756
169275,5636,
169284,283,
169327,310,63
169363,624,98
169424,,191
169442,1202,74
169479,4387,1108
169503,234,
169521,6283,
169576,81,
169628,,55
169655,736,
169716,2526,886
169734,412,
169761,136,
169798,14929,2332
169813,21,
169910,10687,418
169947,68,
169974,659,
169983,1966,284
169992,772,
170000,647,4
170037,1830,450
170055,9400,
170082,19980,2368
170091,129,
170240,9196,
170286,1469,24
170301,3470,
170444,3694,
170532,1513,
170541,5575,
170550,2965,
170587,935,
170611,155,
170620,2143,
170639,1940,1
170657,10212,
170675,1974,841
170736,27,
170790,14197,
170806,2126,453
170842,537,380
170967,945,12
170976,27880,11736
171012,149,
171100,37214,5674
171128,5691,857
171137,5800,1035
171146,5276,803
171155,3341,
171225,1863,
171234,1009,
171261,65,
171304,2886,
171322,872,
171395,1359,
171456,6977,381
171465,59,
171483,2729,
171492,2644,540
171535,13682,
171571,15311,1986
171599,917,13
171775,33,
171881,222,0
171988,246,
171997,353,
172015,418,
172033,108,128
172051,7653,656
172200,8930,
172264,1920,154
172291,2451,
172307,1571,
172325,829,
172334,1981,826
172422,241,
172440,484,
172477,,46
172495,189,
172608,687,952
172617,8168,
172635,8631,
172644,14304,4921
172671,769,
172680,68,
172699,16650,3104
172705,,194
172802,78,
172866,89,
172918,1993,
172927,72,
172954,1387,
172963,5683,
173045,2389,581
173063,1998,
173115,648,
173124,4073,185
173142,548,
173160,3008,839
173179,,203
173203,2710,
173258,1961,
173300,2209,14
173328,2344,1154
173416,2004,
173452,826,38
173461,3292,
173470,17,
173489,102,
173559,4319,
173629,558,4
173638,1858,
173647,2357,
173665,2404,1325
173683,,174
173708,3739,
173726,27,
173735,1014,
173744,557,
173799,3550,
173805,931,
173887,729,
173896,,344
173902,2265,
173911,2212,
173920,12163,1324
173957,,
173966,225,291
173984,807,158
173993,873,
174020,5470,526
174066,34788,8727
174075,1866,
174118,211,
174127,646,103
174136,5658,
174154,339,
174190,119,
174233,9296,668
174251,1774,
174279,575,2
174321,83,
174358,4744,477
174376,4446,
174385,136,
174394,63,
174428,6837,
174437,1042,13
174473,2220,
174491,2534,184
174507,171,162
174525,109,
174570,728,
174604,270,
174738,3948,
174747,1913,
174756,3373,
174783,10351,1238
174792,1699,68
174817,1515,2570
174844,2992,
174862,813,103
174899,2855,853
174914,6443,2270
174978,142,
175005,2753,1105
175014,3617,
175041,4546,
175078,3357,296
175120,520,
175139,,71
175157,501,
175227,1081,
175236,2737,
175263,1316,
175272,7518,310
175281,,
175315,6204,
175342,2664,417
175421,2277,1026
175430,436,25
175494,131,
175519,1880,
175528,842,
175573,2965,
175607,44,
175616,2458,1071
175643,2414,
175652,4565,
175698,36,
175722,34,
175786,9983,
175810,4671,
175829,4923,
175856,7034,1574
175883,4589,
175935,2564,
175980,791,68
176008,1652,
176017,19311,2529
176035,2374,192
176044,1842,246
176053,2800,1373
176062,55,
176071,8024,
176080,16579,2318
176169,3131,
176178,6571,
176239,3785,
176318,713,
176336,28,
176354,1288,
176372,11299,2187
