UNITID,SAOUTLT
127680,69844
127680,69844
127714,473736
127714,473736
127732,721870
127732,1087407
127732,553710
127732,84161
127732,2447148
127741,15721977
127741,8531831
127741,7513391
127741,859112
127741,1827291
127741,34453602
127778,1748306
127778,1748306
127787,136565
127787,136565
127820,10299563
127820,10299563
127839,319371
127839,319371
127884,5802049
127884,5802049
127909,5738452
127909,5738452
127918,6218701
127918,9201445
127918,6294578
127918,1175281
127918,398099
127918,23288104
127945,568460
127945,280372
127945,693927
127945,48960
127945,1591719
128106,3524774
128106,2749543
128106,2807592
128106,39854
128106,999966
128106,132000
128106,10253729
128179,1084800
128179,1084800
128188,2146293
128188,2146293
128258,1959506
128258,1959506
128328,8238192
128328,4486083
128328,4651230
128328,1641657
128328,19017162
128391,3132172
128391,887557
128391,1442806
128391,1884910
128391,7347445
128498,983877
128498,1225573
128498,675995
128498,65000
128498,35269
128498,2985714
128577,1051413
128577,328470
128577,178187
128577,164990
128577,104256
128577,292563
128577,2119879
128586,241229
128586,241229
128683,151879
128683,525665
128683,183675
128683,262664
128683,1123883
128744,1879407
128744,3935457
128744,2610983
128744,1622780
128744,10048627
128771,20981676
128771,11569125
128771,8026740
128771,246451
128771,40823992
128902,7950930
128902,4928580
128902,3640960
128902,275960
128902,1066583
128902,17863013
129020,75785445
129020,47911481
129020,40783521
129020,3281042
129020,4879098
129020,172640587
129154,1902274
129154,2883224
129154,816219
129154,5601717
129215,9382524
129215,3456461
129215,4320011
129215,17158996
129242,9378671
129242,8730373
129242,6896363
129242,1207725
129242,86902
129242,26300034
129367,2374702
129367,1007962
129367,1325371
129367,55571
129367,4763606
129428,247520
129428,71535
129428,319055
129491,299962
129491,168847
129491,138076
129491,606885
129525,9810795
129525,10274446
129525,8296723
129525,704764
129525,29086728
129534,238830
129534,213907
129534,30012
129534,161228
129534,643977
129543,2658606
129543,1340642
129543,1016002
129543,816346
129543,52127
129543,5883723
129695,5578673
129695,904452
129695,989981
129695,611276
129695,52128
129695,8136510
129729,5430699
129729,1272662
129729,918927
129729,375223
129729,74885
129729,8072396
129756,2300925
129756,626967
129756,594432
129756,52128
129756,3574452
129774,162277
129774,644413
129774,775482
129774,1582172
129808,3212783
129808,669546
129808,447986
129808,222282
129808,603366
129808,5155963
129941,6494303
129941,6910515
129941,5671280
129941,4835058
129941,23911156
130004,5887431
130004,620662
130004,796926
130004,270967
130004,111142
130004,7687128
130040,1135622
130040,455099
130040,562440
130040,57292
130040,2210453
130110,330976
130110,330976
130183,376559
130183,78985
130183,3775321
130183,4230865
130217,1577114
130217,209689
130217,307510
130217,107698
130217,2202011
130226,15495557
130226,9894361
130226,12960160
130226,882805
130226,39232883
130253,3531510
130253,8583575
130253,8442957
130253,1610074
130253,830504
130253,22998620
130314,1776875
130314,3183741
130314,5129968
130314,355344
130314,10445928
130396,5845746
130396,1414736
130396,812547
130396,319653
130396,115860
130396,63093
130396,8571635
130448,84150
130448,196372
130448,659088
130448,55000
130448,994610
130493,18080028
130493,10772028
130493,8537455
130493,466204
130493,37855715
130581,488107
130581,488107
130590,8178792
130590,6047412
130590,2255523
130590,1286162
130590,2185920
130590,19953809
130606,3755737
130606,474567
130606,420107
130606,118025
130606,104256
130606,4872692
130624,902653
130624,520046
130624,990091
130624,148822
130624,221265
130624,2782877
130697,18082905
130697,6721624
130697,6168067
130697,8492627
130697,39465223
130776,9512084
130776,5223242
130776,4768990
130776,671024
130776,20175340
130794,131657683
130794,18460500
130794,21982250
130794,19685739
130794,191786172
130907,30368101
130907,30368101
130934,4074652
130934,8103373
130934,3551998
130934,795071
130934,471345
130934,470226
130934,17466665
130943,56997714
130943,37417895
130943,27676461
130943,6362510
130943,128454580
130989,440931
130989,455693
130989,627990
130989,1524614
131098,1647236
131098,1411998
131098,1375213
131098,366398
131098,4800845
131113,694500
131113,2582200
131113,4952600
131113,8229300
131159,30029825
131159,17037850
131159,13042450
131159,20533734
131159,80643859
131283,12539146
131283,12981670
131283,9710179
131283,477580
131283,35708575
131399,5796756
131399,5114272
131399,4865812
131399,852123
131399,16628963
131405,190000
131405,106275
131405,207501
131405,230000
131405,733776
131450,8904388
131450,5112150
131450,2208346
131450,572398
131450,1028945
131450,463989
131450,18290216
131469,65496827
131469,41529334
131469,24804807
131469,245908
131469,10731934
131469,142808810
131496,60874800
131496,27551223
131496,10920396
131496,34875666
131496,134222085
131520,21743143
131520,18834021
131520,14687841
131520,3717595
131520,8368348
131520,7510650
131520,74861598
131803,641908
131803,641908
131876,345000
131876,1772651
131876,1913310
131876,586233
131876,4617194
131973,1261117
131973,163012
131973,296768
131973,1720897
132268,732812
132268,732812
132338,1238793
132338,1238793
132408,651955
132408,266951
132408,411049
132408,35720
132408,1365675
132471,8246676
132471,8530200
132471,8697285
132471,1976864
132471,27451025
132602,1706177
132602,2113078
132602,5151081
132602,3364999
132602,12335335
132657,1801887
132657,1963157
132657,2525648
132657,208871
132657,61601
132657,191029
132657,6752193
132693,3287544
132693,2875810
132693,2862578
132693,4955425
132693,41400
132693,14022757
132709,4585772
132709,1617110
132709,15975339
132709,1801729
132709,23979950
132842,340000
132842,259500
132842,1105900
132842,1705400
132851,1948822
132851,3021104
132851,955110
132851,113475
132851,108094
132851,6146605
132879,617971
132879,122044
132879,160423
132879,900438
132903,34907692
132903,32311588
132903,23955706
132903,12068053
132903,15021290
132903,182355
132903,118446684
133021,495167
133021,175375
133021,376387
133021,909247
133021,198385
133021,2154561
133386,8616000
133386,5426100
133386,2432100
133386,512000
133386,16986200
133465,188163
133465,152964
133465,631497
133465,880510
133465,1853134
133492,3744479
133492,1971886
133492,2713960
133492,1404894
133492,9835219
133508,10000962
133508,10000962
133526,324671
133526,453955
133526,1211397
133526,663000
133526,2653023
133553,8343182
133553,8608181
133553,7848989
133553,1085102
133553,25885454
133650,15696262
133650,14759497
133650,10480598
133650,4568345
133650,184638
133650,246006
133650,45935346
133669,23360916
133669,20084625
133669,10446703
133669,11199681
133669,234115
133669,133000
133669,65459040
133702,21146007
133702,21146007
133711,983610
133711,2880530
133711,3026870
133711,302500
133711,39750
133711,7233260
133809,2092342
133809,2092342
