UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
107327,249,R,298,869
107327,96,R,270,657
107327,153,R,28,212
107442,0,A,0,54
107442,0,A,0,54
107460,237,R,487,1162
107460,237,R,487,1162
107460,197,R,472,876
107460,40,R,15,286
107488,0,A,0,250
107488,0,A,0,250
107488,0,A,0,249
107488,0,A,0,1
107512,20,R,120,1353
107512,20,R,120,1353
107512,19,R,119,1339
107512,1,R,1,14
107521,119,R,214,995
107521,119,R,214,995
107521,90,R,205,415
107521,29,R,9,580
107549,253,R,390,503
107549,253,R,390,503
107549,180,R,250,477
107549,73,R,140,26
107558,0,A,0,686
107558,0,A,0,686
107558,0,A,0,672
107558,0,A,0,14
107585,142,R,515,1372
107585,142,R,515,1372
107585,132,R,511,1288
107585,10,R,4,84
107600,0,R,131,634
107600,0,R,131,634
107600,0,R,131,633
107600,0,R,0,1
107619,69,R,143,1535
107619,69,R,143,1535
107619,42,R,123,518
107619,27,R,20,1017
107637,62,R,301,1028
107637,62,R,301,1028
107637,59,R,277,882
107637,3,R,24,146
107655,0,A,0,25
107655,0,A,0,25
107664,1327,R,1752,3497
107664,1327,R,1752,3497
107664,1104,R,1670,3002
107664,223,R,82,495
107725,184,R,303,1044
107725,184,R,303,1044
107725,176,R,298,1003
107725,8,R,5,41
107743,55,R,212,607
107743,55,R,212,607
107743,26,R,177,265
107743,29,R,35,342
107789,0,A,0,113
107789,0,A,0,113
107831,0,A,0,72
107831,0,A,0,72
107840,0,A,0,446
107840,0,A,0,446
107840,0,A,0,446
107877,0,R,35,434
107877,0,R,35,434
107877,0,R,35,399
107877,0,R,0,35
107974,238,R,368,930
107974,238,R,368,930
107974,235,R,360,517
107974,3,R,8,413
107983,574,R,2176,2021
107983,206,R,1094,1987
107983,132,R,1091,1789
107983,74,R,3,198
107983,368,R,1082,34
107992,172,R,162,446
107992,172,R,162,446
107992,150,R,153,413
107992,22,R,9,33
108065,0,A,0,9
108065,0,A,0,9
108092,392,R,188,6004
108092,392,R,188,5989
108092,383,R,41,5087
108092,9,R,147,902
108092,0,R,0,15
108232,4403,R,2953,5252
108232,2888,R,2168,3247
108232,2829,R,2164,3189
108232,59,R,4,58
108232,1515,R,785,2005
108269,0,A,0,126
108269,0,A,0,126
108348,3,Z,0,8
108348,3,Z,0,8
108649,0,A,0,120
108649,0,A,0,120
108667,1699,R,1043,3655
108667,1699,R,1043,3655
