UNITID,EFDEEXC,EFDESOM,EFDENON
107512,19,119,1339
107512,1,1,14
107521,119,214,995
107521,119,214,995
107521,90,205,415
107521,29,9,580
107549,253,390,503
107549,253,390,503
107549,180,250,477
107549,73,140,26
107558,,,686
107558,,,686
107558,,,672
107558,,,14
107585,142,515,1372
107585,142,515,1372
107585,132,511,1288
107585,10,4,84
107600,0,131,634
107600,0,131,634
107600,0,131,633
107600,0,0,1
107619,69,143,1535
107619,69,143,1535
107619,42,123,518
107619,27,20,1017
107637,62,301,1028
107637,62,301,1028
107637,59,277,882
107637,3,24,146
107655,,,25
107655,,,25
107664,1327,1752,3497
107664,1327,1752,3497
107664,1104,1670,3002
107664,223,82,495
107725,184,303,1044
107725,184,303,1044
107725,176,298,1003
107725,8,5,41
107743,55,212,607
107743,55,212,607
107743,26,177,265
107743,29,35,342
107789,,,113
107789,,,113
107831,,,72
107831,,,72
107840,,,446
107840,,,446
107840,,,446
107877,0,35,434
107877,0,35,434
107877,0,35,399
107877,0,0,35
107974,238,368,930
107974,238,368,930
107974,235,360,517
107974,3,8,413
107983,574,2176,2021
107983,206,1094,1987
107983,132,1091,1789
107983,74,3,198
107983,368,1082,34
107992,172,162,446
107992,172,162,446
107992,150,153,413
107992,22,9,33
108065,,,9
108065,,,9
108092,392,188,6004
108092,392,188,5989
108092,383,41,5087
108092,9,147,902
108092,0,0,15
108232,4403,2953,5252
108232,2888,2168,3247
108232,2829,2164,3189
108232,59,4,58
108232,1515,785,2005
108269,,,126
108269,,,126
108348,3,0,8
108348,3,0,8
108649,,,120
108649,,,120
108667,1699,1043,3655
108667,1699,1043,3655
108667,1461,972,2859
108667,238,71,796
108807,1567,1896,8549
108807,1567,1896,8549
108807,1207,1790,6448
108807,360,106,2101
108852,,,303
108852,,,303
108852,,,303
108861,5,14,37
108861,5,14,37
108870,,,338
108870,,,338
108977,,,126
108977,,,126
109040,,,1315
109040,,,1315
109040,,,1315
109086,,,54
109086,,,18
109086,,,1
109086,,,17
109086,,,36
109208,3621,5110,21788
109208,3621,5110,21788
109208,3239,4935,19506
109208,382,175,2282
109350,585,1702,11818
109350,585,1702,11818
109350,458,1563,9956
109350,127,139,1862
109651,0,95,2043
109651,0,95,1813
109651,0,95,1802
109651,0,0,11
109651,0,0,230
109721,,,440
109721,,,440
109730,,,62
109730,,,62
109785,762,1360,7898
109785,190,858,4722
