UNITID,F2A01,F2B04,F2B06,F2C03,F2C04,F2C06,F2D01,F2D02,F2D03,F2D04,F2E011,F2E012
238193,40482845,-3834642,0,2471230,0,10050797,31082909,0,0,0,13725055,8755291
238324,12568332,-361040,0,185530,0,1125592,7302924,0,0,0,3038886,2386431
238333,148635387,-7481426,0,370041,0,28351283,25131739,0,0,0,19215465,9626093
238430,20431742,-995078,0,1147035,0,12730341,30222606,0,0,0,11391590,8241003
238458,90219745,14200620,0,5144400,0,35684437,55484176,0,0,0,20449502,12881451
238476,85550330,357613,0,1188859,0,51077208,50537865,0,0,0,35563504,17732811
238573,1,119104,0,165887,0,659000,2248603,0,0,0,1377887,1377887
238616,58926566,1306092,113907,2456218,0,28315637,88903875,0,0,0,49568907,31827609
238661,36553174,191267,0,1919069,0,12010268,40089440,0,0,0,19538786,11402121
238980,22981754,3251640,1,840704,0,7954347,24446319,0,0,0,10991939,6201172
239017,285151509,1763945,0,598641,0,29054170,30450477,0,0,0,24100691,14604372
239071,110000,60423,0,229357,0,1377666,11145031,0,0,0,4004727,2645726
239080,1557322,2174323,0,1686657,0,11869362,25766528,0,0,0,10880559,8470367
239105,582668000,-422000,0,3025000,0,105161000,245992000,0,0,0,117144000,73384000
239169,1398122000,-32535000,0,1926600,0,7019284,40197000,0,5049000,0,70388000,40012000
239309,1398598,619568,-1239136,675746,0,8314001,11697233,0,0,0,5259613,3259084
239318,98101098,3138280,0,2391277,0,43970999,44227277,0,0,0,30974323,17303430
239390,26749591,-281814,-1,1380973,0,9658423,16088886,0,0,0,8748365,5803514
239424,7654959,1365577,0,0,0,0,226595,0,0,0,1826083,698147
239512,23797658,-3291863,0,474210,0,8884549,5539583,0,0,0,6235257,3257617
239628,82208574,736883,0,981793,0,12697585,12706866,0,0,0,10958134,5981719
239637,8866679,-1488736,0,0,0,0,1718118,0,0,0,3289853,1640570
239716,102549670,11770768,0,2309724,0,30903589,39613527,0,0,0,20295371,11807815
239743,7223477,-2174350,0,337422,0,1193725,5143041,0,0,0,4174716,1988591
240107,45208273,-279041,0,1312907,0,14936699,32681394,0,0,0,18512251,11000857
240213,156052,6548,0,0,0,86925,1475822,0,0,0,612789,562061
240338,28774208,-4824906,0,861889,0,10150184,13861190,0,0,0,10679197,5401268
240718,0,-969662,0,0,0,0,12906735,0,0,0,5358717,2721836
241100,0,-222702,0,0,103845,0,644450,0,0,0,3255682,1719824
241191,0,835354,0,83968,0,309773,8662898,0,0,0,3986554,2509829
241216,0,454829,0,85262,0,0,3511920,0,0,0,2160785,1910470
241225,8423151,-475438,0,127236,0,0,9977101,0,0,0,2229634,1814150
241331,19617715,1750089,-3478262,37167,0,0,11794938,0,0,0,4394304,3448160
241377,0,-1193834,0,213641,0,158288,17072739,0,0,0,5014747,4783866
241386,0,-77978,0,13954,0,10339,1115141,0,0,0,327548,312468
241410,36428787,-5334782,0,501862,0,2672464,64580716,0,0,0,40933779,24072305
241614,0,40109,0,0,0,0,223039,0,0,0,249991,41647
241739,20408926,1894005,-9298108,65267,0,3618885,76092968,0,0,0,40945145,25880891
241793,1173174,-285495,0,24669,0,0,1227844,0,0,0,355049,355049
242060,1596957,-6382996,9965667,,,,0,0,0,0,0,0
242121,0,1357805,0,46334,0,0,2575012,0,0,0,546171,409628
242617,,,,211966,0,0,23346492,0,0,0,16463094,10872753
242626,,,,182157,0,0,21718029,0,0,0,11381051,7100647
242635,,,,169832,0,0,20939409,0,0,0,12121058,8141147
242644,,,,117183,0,0,10205376,0,0,0,6609475,3702145
242653,,,,380338,0,0,45755125,0,0,0,27976452,18987943
242662,,,,237949,0,0,25844564,0,0,0,14686163,8181619
242671,200977227,12541369,0,,,,0,0,0,0,2763436,1054889
242680,,,,116452,0,0,11096872,0,0,0,6024473,3765702
242699,,,,101932,0,0,10255282,0,0,0,6961334,5084265
242705,,,,203532,0,0,23804499,0,0,0,13381653,8322702
242723,,,,25297,0,0,11789682,0,0,0,5004957,2901446
243346,19537892,1790197,-1570016,44078,0,2725238,70027485,0,0,0,33930238,21910660
243443,21067197,-7514035,0,328604,0,0,30696978,0,0,0,14938161,9411540
243498,982488,-72737,0,0,0,0,660776,0,0,0,372273,245312
243568,6379034,1177866,0,17938,151020,0,10877064,0,0,0,3840683,2126006
243577,14063345,938784,0,267001,0,0,28289643,0,0,0,14479698,7330000
243601,19777990,379794,-1522264,261539,0,4405047,101081059,0,0,0,46638428,28994697
243744,29085787000,1285702000,0,96000,0,225630000,431233000,0,0,0,1679233000,703513000
