UNITID,TUITION1,TUITION2
170037,26490,26490
170055,3330,7140
170082,11832,11832
170091,13650,13650
170240,2232,3864
170286,24670,24670
170301,31380,31380
170444,3240,4680
170532,44418,44418
170541,3000,5160
170550,3240,5251
170587,3270,4740
170620,2910,4500
170639,10824,10824
170657,2970,5940
170675,30420,30420
170790,3007,5580
170806,19500,19500
170842,21526,21526
170967,20500,20500
170976,14982,14982
171100,14880,14880
171128,15302,15302
171137,11310,11310
171146,9984,9984
171155,3626,6516
171225,3210,5580
171234,3150,5970
171304,4080,7600
171395,3240,5370
171456,9330,9330
171483,3111,6159
171492,23860,23860
171535,2640,5130
171571,12923,12923
171599,24670,24670
171881,19718,19718
172033,18646,18646
172051,8907,8907
172200,3060,4440
172264,24390,24390
172291,3689,6758
172307,3573,4658
172334,26130,26130
172422,6816,6816
172440,22253,22253
172477,.,.
172608,13200,13200
172617,2256,3720
172635,2570,2839
172644,11821,11821
172671,2304,3840
172699,10570,10570
172705,.,.
172866,17009,17009
172918,4768,4768
172954,4960,4960
172963,4305,4305
173045,35750,35750
173063,4888,4888
173115,5138,5138
173124,7360,7360
173142,25440,25440
173160,35010,35010
173179,.,.
173203,4773,4773
173258,50580,50580
173300,36650,36650
173328,21250,21250
173416,5018,5018
173452,13980,13980
173461,4373,4373
173489,17775,17775
173559,4824,4824
173629,14040,14040
173638,5094,5094
173647,42360,42360
173665,38100,38100
173683,.,.
173708,4654,4654
173735,4681,4681
173799,4722,4722
173805,4681,4681
173887,17318,17318
173896,.,.
173902,50418,50418
173911,4788,4788
173920,6904,6904
173957,.,.
173984,13056,13056
173993,4681,4681
174020,6563,6563
174066,12546,12546
174075,10180,10180
174118,14720,14720
174127,36098,36098
174136,4611,4611
174154,12560,12560
174233,11896,11896
174251,11896,11896
174279,14040,14040
174358,7136,7136
174376,3922,3922
174385,13428,13428
174394,12883,12883
174428,4800,4800
174437,21760,21760
174473,4900,4900
174491,29100,29100
174507,9696,9696
174525,16700,16700
174570,3639,3639
174604,4681,4681
174738,4874,4874
174747,41245,41245
174756,4720,4720
174783,6820,6820
174792,41016,41016
174817,32060,32060
174844,44180,44180
174862,24250,24250
174899,34764,34764
174914,38720,38720
175005,31042,31042
175014,9360,9360
175041,4802,4802
175078,7222,7222
175139,.,.
175157,4682,4682
175227,18946,18946
175236,4791,4791
175263,4969,4969
