UNITID,LEXPTOT
187596,182575
187620,770158
187639,254819
187648,1756424
187666,225192
187745,449044
187897,1663315
187903,561540
187912,454294
187958,319926
187967,1770697
187976,124956
187985,24764435
187994,241384
188003,304442
188021,190751
188030,7543845
188049,221249
188058,263292
188100,952721
188137,395714
188146,216840
188182,200859
188207,
188216,172516
188225,136784
188261,
188304,883488
188340,526562
188429,6564627
188438,608777
188517,
188526,840555
188535,1337542
188580,2834662
188641,1812021
188678,
188687,
188854,624285
189015,1055032
189088,1772406
189097,2998815
189228,1514446
189264,
189273,
189282,
189413,256366
189422,113289
189459,304859
189501,2694402
189547,959221
189556,
189565,118047
189574,
189583,
189592,
189705,1847830
189811,100490
189839,1149479
189848,427217
189857,
189981,272084
190044,1960762
190053,356067
190071,278871
190080,
190099,5865424
190114,505423
190150,69982693
190169,560926
190248,384877
190372,964408
190415,63098923
190424,5521707
190442,459469
190451,469748
190503,572501
190512,5595117
190521,2491766
190530,1981737
190549,4622642
190558,2859979
190567,4640528
190576,2389285
190585,1542592
190594,6544258
190600,2912159
190619,2011017
190628,2957831
190637,1922506
190646,1802465
190655,1755303
190664,4034462
190673,2236555
190682,1775862
190691,1444809
190716,1172748
190725,1240727
190752,
190761,789373
190840,1000618
190956,204578
190974,
190983,854054
191083,1691728
191126,4359088
191199,764843
191205,307113
191241,15896021
191302,512149
191320,265250
191339,979993
191515,3987903
191533,979010
191597,
191612,470477
191621,412996
191630,2598797
191649,11782798
191676,499634
191719,1000733
191931,1459184
191959,
191968,3938555
191986,724468
192004,
192022,553909
192040,2015701
192110,1082039
192192,789975
192271,760975
192323,1867602
192439,4549134
192448,5918269
192509,269000
192554,
192563,110051
192624,
192688,
192703,2268000
192712,695015
192749,1370627
192785,214436
192819,2466397
192864,980618
192925,744234
192961,147062
193016,2432687
193052,
193061,
193070,
193201,
193247,
193283,774570
193292,3007859
193308,720685
193326,1417404
193353,1116679
193399,355509
193405,5307188
193478,432858
193584,1906626
193645,1716135
193654,6493596
193751,702492
193821,2843859
193830,3120257
193894,194000
193900,50265495
193946,1080564
193973,1260323
