UNITID,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 
111762,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111799,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111887,1,4,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111896,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111920,1,2,8,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111939,1,4,0,-2,2,0,0,0,0,0,0,1,138,1,138,1,138,1,138
111948,4,-2,-2,61,1,1,0,0,0,0,0,1,197,1,197,1,197,1,197
111966,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
112075,4,-2,-2,68,1,0,0,0,0,0,1,2,-2,2,-2,2,-2,2,-2
112084,4,-2,-2,88,1,0,1,0,0,0,0,2,-2,1,302,1,302,1,302
112127,4,-2,-2,73,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
112172,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
