UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
110334,1,17887,R,8444,9443
110334,2,17887,R,8444,9443
110361,1,10604,R,3703,6901
110361,2,7791,R,2928,4863
110361,4,2813,R,775,2038
110370,1,2125,R,810,1315
110370,2,1656,R,639,1017
110370,4,469,R,171,298
110398,1,981,R,459,522
110398,4,981,R,459,522
110404,1,2344,R,1579,765
110404,2,1034,R,634,400
110404,4,1310,R,945,365
110413,1,4910,R,2085,2825
110413,2,3114,R,1345,1769
110413,4,1796,R,740,1056
110422,1,21717,R,11546,10171
110422,2,20622,R,10980,9642
110422,4,1095,R,566,529
110468,1,4866,R,1607,3259
110468,2,1771,R,742,1029
110468,4,3095,R,865,2230
110486,1,10637,R,4127,6510
110486,2,9229,R,3676,5553
110486,4,1408,R,451,957
110495,1,10071,R,3530,6541
110495,2,8745,R,3186,5559
110495,4,1326,R,344,982
110510,1,21137,R,8338,12799
110510,2,18483,R,7358,11125
110510,4,2654,R,980,1674
110529,1,24564,R,13571,10993
110529,2,22651,R,12639,10012
110529,4,1913,R,932,981
110538,1,18624,R,8678,9946
110538,2,17353,R,8244,9109
110538,4,1271,R,434,837
110547,1,15429,R,5413,10016
110547,2,13040,R,4796,8244
110547,4,2389,R,617,1772
110556,1,25418,R,10628,14790
110556,2,22308,R,9565,12743
110556,4,3110,R,1063,2047
110565,1,43129,R,19191,23938
110565,2,36593,R,16330,20263
110565,4,6536,R,2861,3675
110574,1,17440,R,6762,10678
110574,2,14540,R,5634,8906
110574,4,2900,R,1128,1772
110583,1,40015,R,17271,22744
110583,2,34062,R,14935,19127
110583,4,5953,R,2336,3617
110592,1,28885,R,12055,16830
110592,2,24156,R,10019,14137
110592,4,4729,R,2036,2693
110608,1,43572,R,19750,23822
110608,2,38667,R,17927,20740
110608,4,4905,R,1823,3082
110617,1,32714,R,14222,18492
110617,2,29768,R,13112,16656
110617,4,2946,R,1110,1836
110635,1,40961,R,20378,20583
110635,2,29591,R,14216,15375
110635,4,11370,R,6162,5208
110644,1,37381,R,15962,21419
110644,2,30215,R,12571,17644
110644,4,7166,R,3391,3775
110653,1,32967,R,15831,17136
110653,2,26991,R,12528,14463
110653,4,5976,R,3303,2673
110662,1,44794,R,21104,23690
110662,2,31906,R,14063,17843
110662,4,12888,R,7041,5847
110671,1,22895,R,11248,11647
110671,2,19765,R,9550,10215
110671,4,3130,R,1698,1432
110680,1,34570,R,18704,15866
110680,2,27918,R,14670,13248
110680,4,6652,R,4034,2618
110699,1,3152,R,1160,1992
110699,4,3152,R,1160,1992
110705,1,24936,R,12099,12837
110705,2,21897,R,10444,11453
110705,4,3039,R,1655,1384
110714,1,19186,R,9348,9838
110714,2,17380,R,8321,9059
110714,4,1806,R,1027,779
110778,1,481,R,195,286
110778,2,15,R,5,10
110778,4,466,R,190,276
110875,1,145,R,5,140
110875,2,145,R,5,140
110918,1,20,R,17,3
110918,2,20,R,17,3
111009,1,453,R,250,203
111009,2,453,R,250,203
111054,1,361,R,105,256
111054,2,361,R,105,256
111081,1,1489,R,631,858
111081,2,975,R,396,579
111081,4,514,R,235,279
111188,1,1147,R,980,167
111188,2,1147,R,980,167
111391,1,746,R,314,432
111391,4,746,R,314,432
111434,1,10595,R,4006,6589
111434,2,10595,R,4006,6589
111461,1,30369,R,16717,13652
111461,2,30369,R,16717,13652
111513,1,287,R,4,283
111513,2,287,R,4,283
111638,1,525,R,141,384
111638,2,525,R,141,384
111708,1,382,R,305,77
111708,2,382,R,305,77
111717,1,594,R,325,269
111717,2,594,R,325,269
111726,1,500,R,374,126
111726,2,500,R,374,126
111744,1,283,R,270,13
111744,2,283,R,270,13
111762,1,207,R,116,91
111762,2,207,R,116,91
111799,1,154,R,40,114
111799,2,154,R,40,114
111887,1,27908,R,12761,15147
111887,2,27908,R,12761,15147
111896,1,8198,R,3021,5177
111896,2,8198,R,3021,5177
111920,1,19599,R,9059,10540
111920,2,19599,R,9059,10540
111939,1,27430,R,11528,15902
111939,2,27430,R,11528,15902
111948,1,8833,R,3551,5282
111948,2,6649,R,2673,3976
111948,4,2184,R,878,1306
111966,1,737,R,214,523
111966,2,115,R,62,53
111966,4,622,R,152,470
112075,1,6196,R,2673,3523
112075,2,2230,R,854,1376
112075,4,3966,R,1819,2147
112084,1,1084,R,483,601
112084,2,1077,R,482,595
112084,4,7,R,1,6
112127,1,86,R,43,43
112127,4,86,R,43,43
112172,1,17908,R,8372,9536
112172,2,17908,R,8372,9536
112181,1,154,R,4,150
