UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
108649,2,267,8,259
108667,1,10951,4723,6228
108667,2,10951,4723,6228
108807,1,16958,8616,8342
108807,2,16958,8616,8342
108852,1,338,142,196
108852,2,338,142,196
108861,1,82,53,29
108861,4,82,53,29
108870,1,366,205,161
108870,4,366,205,161
108977,1,162,82,80
108977,2,162,82,80
109040,1,2545,559,1986
109040,2,2545,559,1986
109086,1,123,73,50
109086,2,48,31,17
109086,4,75,42,33
109208,1,46579,23989,22590
109208,2,46579,23989,22590
109350,1,18654,7613,11041
109350,2,18654,7613,11041
109651,1,2778,1400,1378
109651,2,2535,1268,1267
109651,4,243,132,111
109721,1,513,193,320
109721,2,513,193,320
109730,1,241,170,71
109730,2,241,170,71
109785,1,11631,3797,7834
109785,2,6379,2191,4188
109785,4,5252,1606,3646
109819,1,28307,12892,15415
109819,2,28307,12892,15415
109907,1,4777,1807,2970
109907,2,4777,1807,2970
109934,1,275,35,240
109934,2,275,35,240
110060,1,455,268,187
110060,2,346,210,136
110060,4,109,58,51
110097,1,6714,3081,3633
110097,2,4437,1635,2802
110097,4,2277,1446,831
110194,1,354,353,1
110194,2,354,353,1
110219,1,2657,901,1756
110219,2,2657,901,1756
110246,1,14862,7170,7692
110246,2,14862,7170,7692
110307,1,338,53,285
110307,4,338,53,285
110316,1,1631,431,1200
110316,2,112,26,86
110316,4,1519,405,1114
110334,1,17887,8444,9443
110334,2,17887,8444,9443
110361,1,10604,3703,6901
110361,2,7791,2928,4863
110361,4,2813,775,2038
110370,1,2125,810,1315
110370,2,1656,639,1017
110370,4,469,171,298
110398,1,981,459,522
110398,4,981,459,522
110404,1,2344,1579,765
110404,2,1034,634,400
110404,4,1310,945,365
110413,1,4910,2085,2825
110413,2,3114,1345,1769
110413,4,1796,740,1056
110422,1,21717,11546,10171
110422,2,20622,10980,9642
110422,4,1095,566,529
110468,1,4866,1607,3259
110468,2,1771,742,1029
110468,4,3095,865,2230
110486,1,10637,4127,6510
110486,2,9229,3676,5553
110486,4,1408,451,957
110495,1,10071,3530,6541
110495,2,8745,3186,5559
110495,4,1326,344,982
110510,1,21137,8338,12799
110510,2,18483,7358,11125
110510,4,2654,980,1674
110529,1,24564,13571,10993
110529,2,22651,12639,10012
110529,4,1913,932,981
110538,1,18624,8678,9946
110538,2,17353,8244,9109
110538,4,1271,434,837
110547,1,15429,5413,10016
110547,2,13040,4796,8244
110547,4,2389,617,1772
110556,1,25418,10628,14790
110556,2,22308,9565,12743
110556,4,3110,1063,2047
110565,1,43129,19191,23938
110565,2,36593,16330,20263
110565,4,6536,2861,3675
110574,1,17440,6762,10678
110574,2,14540,5634,8906
110574,4,2900,1128,1772
110583,1,40015,17271,22744
110583,2,34062,14935,19127
110583,4,5953,2336,3617
110592,1,28885,12055,16830
110592,2,24156,10019,14137
110592,4,4729,2036,2693
110608,1,43572,19750,23822
110608,2,38667,17927,20740
110608,4,4905,1823,3082
110617,1,32714,14222,18492
110617,2,29768,13112,16656
110617,4,2946,1110,1836
110635,1,40961,20378,20583
110635,2,29591,14216,15375
110635,4,11370,6162,5208
110644,1,37381,15962,21419
110644,2,30215,12571,17644
110644,4,7166,3391,3775
110653,1,32967,15831,17136
110653,2,26991,12528,14463
110653,4,5976,3303,2673
110662,1,44794,21104,23690
110662,2,31906,14063,17843
110662,4,12888,7041,5847
110671,1,22895,11248,11647
110671,2,19765,9550,10215
110671,4,3130,1698,1432
110680,1,34570,18704,15866
110680,2,27918,14670,13248
110680,4,6652,4034,2618
110699,1,3152,1160,1992
110699,4,3152,1160,1992
110705,1,24936,12099,12837
110705,2,21897,10444,11453
110705,4,3039,1655,1384
110714,1,19186,9348,9838
110714,2,17380,8321,9059
110714,4,1806,1027,779
110778,1,481,195,286
110778,2,15,5,10
110778,4,466,190,276
110875,1,145,5,140
110875,2,145,5,140
110918,1,20,17,3
110918,2,20,17,3
111009,1,453,250,203
111009,2,453,250,203
111054,1,361,105,256
111054,2,361,105,256
111081,1,1489,631,858
111081,2,975,396,579
111081,4,514,235,279
111188,1,1147,980,167
111188,2,1147,980,167
111391,1,746,314,432
111391,4,746,314,432
111434,1,10595,4006,6589
111434,2,10595,4006,6589
111461,1,30369,16717,13652
111461,2,30369,16717,13652
111513,1,287,4,283
111513,2,287,4,283
111638,1,525,141,384
111638,2,525,141,384
111708,1,383,306,77
111708,2,383,306,77
111717,1,594,325,269
111717,2,594,325,269
111726,1,500,374,126
111726,2,500,374,126
111744,1,282,269,13
111744,2,282,269,13
111762,1,207,116,91
111762,2,207,116,91
111799,1,154,40,114
111799,2,154,40,114
111887,1,27908,12761,15147
